Identifier,Competency questions/ Natural language sentence (fact),Answer,LSP associated,Ontology
req255,Which devices measure humidity?,,LSP-OP-EN,http://iot.linkeddata.es/def/core#
req256,The IoT;User can be human (human user) or non;human (digital user),,LSP-SC-EN,http://iot.linkeddata.es/def/core#
req257,Digital user consumes services,,LSP-OP-EN,http://iot.linkeddata.es/def/core#
req258,A human user interacts using applications,,LSP-OP-EN,http://iot.linkeddata.es/def/core#
req259,An application is a specialized form of service,,LSP-SC-EN,http://iot.linkeddata.es/def/core#
req260,An Entity can be physical or virtual,,LSP-SC-Di-EC-EN,http://iot.linkeddata.es/def/core#
req261,A physical entity is controlled by an actuator,,LSP-OP-EN,http://iot.linkeddata.es/def/core#
req262,A physical entity is monitored by a sensor,,LSP-OP-EN,http://iot.linkeddata.es/def/core#
req263,A physical entity may have one or more attached tag,,LSP-OP-Min-EN,http://iot.linkeddata.es/def/core#
req264,A virtual entity represents a physical entity,,LSP-OP-EN,http://iot.linkeddata.es/def/core#
req265,Actuators and sensors are kinds of IoT device,,LSP-SC-EN,http://iot.linkeddata.es/def/core#
req266,IoT devices interact through a network,,LSP-OP-EN,http://iot.linkeddata.es/def/core#
req267,IoT devices are connected with an IoT gateway,,LSP-OP-EN,http://iot.linkeddata.es/def/core#
req268,Data Stores hold data relating to IoT systems,,LSP-OP-EN,http://iot.linkeddata.es/def/core#
req269,An entity has an identifier,,LSP-OP-DP-PW-EN,http://iot.linkeddata.es/def/core#
req270,An entity can have more than one identifier,,LSP-OP-Min-EN,http://iot.linkeddata.es/def/core#
req271,A network connects endpoints,,LSP-OP-EN,http://iot.linkeddata.es/def/core#
req272,A service exposes one or more endpoints by which it can be invoked,,LSP-OP-Min-EN,http://iot.linkeddata.es/def/core#
req273,An IoT gateway is a digital entity,,LSP-SC-EN,http://iot.linkeddata.es/def/core#
req274,IoT gateways interact through networks,,LSP-OP-EN,http://iot.linkeddata.es/def/core#
req275,IoT gateways expose endpoints,,LSP-OP-EN,http://iot.linkeddata.es/def/core#
req276,IoT gateways connect IoT devices,,LSP-OP-EN,http://iot.linkeddata.es/def/core#
req277,IoT gateways use data stores,,LSP-OP-EN,http://iot.linkeddata.es/def/core#
req278,IoT device interacts with one or more networks,,LSP-OP-Min-EN,http://iot.linkeddata.es/def/core#
req279,IoT device exposes one or more endpoints,,LSP-OP-Min-EN,http://iot.linkeddata.es/def/core#
req280,A service interacts with other entities via one or more networks,,LSP-Min-and-OP-EN,http://iot.linkeddata.es/def/core#
req281,A service interacts with zero or more IoT gateways,,LSP-OP-EN,http://iot.linkeddata.es/def/core#
req282,A service interacts with zero or more IoT devices,,LSP-OP-EN,http://iot.linkeddata.es/def/core#
req283,A service can interact with other services,,LSP-OP-EN,http://iot.linkeddata.es/def/core#
req284,A service can use data stores,,LSP-OP-EN,http://iot.linkeddata.es/def/core#
req285,A virtual entity interacts through an endpoint,,LSP-OP-EN,http://iot.linkeddata.es/def/core#
req286,Everything in an IoT system is a kind of entity,,LSP-SC-EN,http://iot.linkeddata.es/def/core#
req287,"Data associated with services, devices and gateways can be held in data stores",,LSP-OP-EN,http://iot.linkeddata.es/def/core#
req288,Human users uses applications,,LSP-OP-EN,http://iot.linkeddata.es/def/core#
req289,An application typically uses Services,,LSP-OP-EN,http://iot.linkeddata.es/def/core#
req290,Sensors can monitor the tag attached to a physical entity rather than the physical entity itself,,LSP-OP-EN,http://iot.linkeddata.es/def/core#
req291,What is a thing description?,,LSP-CD-EN,http://iot.linkeddata.es/def/core#
req292,Each thing is described by WoT Thing Descriptions.,,LSP-OP-EN,http://iot.linkeddata.es/def/core#
req293,An endpoint can be relative to an endpoint that must not be relative.,,LSP-INTER-EN,http://iot.linkeddata.es/def/core#
req294,Which devices are located at a CERTH lab?,,LSP-OP-EN,http://iot.linkeddata.es/def/core#
req295,Which properties does a people counting observe?,,LSP-OP-DP-PW-EN,http://iot.linkeddata.es/def/core#
req296,Which properties does a humidity sensor observe?,,LSP-OP-DP-PW-EN,http://iot.linkeddata.es/def/core#
req297,Which properties does a light switch observe?,,LSP-OP-DP-PW-EN,http://iot.linkeddata.es/def/core#
req298,Which properties does a motion sensor observe?,,LSP-OP-DP-PW-EN,http://iot.linkeddata.es/def/core#
req299,Which properties does a thermometer observe?,,LSP-OP-DP-PW-EN,http://iot.linkeddata.es/def/core#
req300,Which properties does a CO2 sensor observe?,,LSP-OP-DP-PW-EN,http://iot.linkeddata.es/def/core#
req301,Which properties does a HVAC sensor observe?,,LSP-OP-DP-PW-EN,http://iot.linkeddata.es/def/core#
req302,Which devices are located at a Oslo SciencePark?,,LSP-OP-EN,http://iot.linkeddata.es/def/core#
req303,Which devices are located at UNIKL?,,LSP-OP-EN,http://iot.linkeddata.es/def/core#
req304,Which properties does an e;bike charger observe?,,LSP-OP-DP-PW-EN,http://iot.linkeddata.es/def/core#
req305,Which properties does a light bulb observe?,,LSP-OP-DP-PW-EN,http://iot.linkeddata.es/def/core#
req306,Which properties does a door sensor observe?,,LSP-OP-DP-PW-EN,http://iot.linkeddata.es/def/core#
req307,Which properties does a window sensor observe?,,LSP-OP-DP-PW-EN,http://iot.linkeddata.es/def/core#
req308,Which properties does a thermostat observe?,,LSP-OP-DP-PW-EN,http://iot.linkeddata.es/def/core#
req309,Service thing description should be inline with Device thing description.,,LSP-OP-EN,http://iot.linkeddata.es/def/core#
req310,Service thing description should be inline with WoT thing description.,,LSP-OP-EN,http://iot.linkeddata.es/def/core#
req311,Service thing description should define the concepts that service produces and provides to end user.,,LSP-OP-EN,http://iot.linkeddata.es/def/core#
req312,Service thing description should define the interaction patterns how to interact with products of added value service.,,LSP-OP-EN,http://iot.linkeddata.es/def/core#
req313,Service thing description should includeits version.,,LSP-OP-EN,http://iot.linkeddata.es/def/core#
req314,Service thing description should define required inputs for the products and supported interaction patterns.,,LSP-OP-EN,http://iot.linkeddata.es/def/core#
req315,Which devices are located at a CERTH lab?,,LSP-OP-EN,http://iot.linkeddata.es/def/core#
req316,Which properties does a weight scale observe?,,LSP-OP-DP-PW-EN,http://iot.linkeddata.es/def/core#
req317,Which properties does a weight scale affect?,,LSP-OP-DP-PW-EN,http://iot.linkeddata.es/def/core#
req318,Which properties from a weight scale are observed in events?,,LSP-OP-DP-PW-EN,http://iot.linkeddata.es/def/core#
req319,Which properties does a blood pressure monitor observe?,,LSP-OP-DP-PW-EN,http://iot.linkeddata.es/def/core#
req320,Which properties does a blood pressure monitor affect?,,LSP-OP-DP-PW-EN,http://iot.linkeddata.es/def/core#
req321,Which properties from a blood pressure monitor are observed in events?,,LSP-OP-DP-PW-EN,http://iot.linkeddata.es/def/core#
req322,Which properties does an activity tracker observe?,,LSP-OP-DP-PW-EN,http://iot.linkeddata.es/def/core#
req323,Which properties does an activity tracker affect?,,LSP-OP-DP-PW-EN,http://iot.linkeddata.es/def/core#
req324,Which properties from an activity trackerare observed in events?,,LSP-OP-DP-PW-EN,http://iot.linkeddata.es/def/core#
req325,Which properties from a panic button observed in events?,,LSP-OP-DP-PW-EN,http://iot.linkeddata.es/def/core#
req326,Which properties does a motion sensor observe?,,LSP-OP-DP-PW-EN,http://iot.linkeddata.es/def/core#
req327,Are there any modification to the clustering algorithm that Weka uses?,,LSP-OP-EN,http://theswo.sourceforge.net/
req328,Does Protege provide XML editing?,,LSP-OP-EN,http://theswo.sourceforge.net/
req329,What software works best with RDF data?,,LSP-OP-EN,http://theswo.sourceforge.net/
req330,Does SIM render a gif?,,LSP-OP-EN,http://theswo.sourceforge.net/
req331,"What data from Andrew Ng is analysed with Weka, version 4.0?",,LSP-OP-EN,http://theswo.sourceforge.net/
req332,To what extent does DAVID support appropriate open standards?,,LSP-OP-EN,http://theswo.sourceforge.net/
req333,Is PostgreSQL compatible with dfp?,,LSP-OP-EN,http://theswo.sourceforge.net/
req334,Can I render gif if the software supplier goes out of business?,,LSP-OP-DP-EN,http://theswo.sourceforge.net/
req335,"Given DNA nucleotide sequence, what are the data exports for SPSS version 20?",,LSP-OP-EN,http://theswo.sourceforge.net/
req336,To what extent does Q support appropriate open standards?,,LSP-OP-EN,http://theswo.sourceforge.net/
req337,Is there a mailing list for Microsoft Windows?,,LSP-OP-DP-EN,http://theswo.sourceforge.net/
req338,How can I get problems with multiscan fixed?,,LSP-OP-EN,http://theswo.sourceforge.net/
req339,Are there any active forums discussing minet use?,,LSP-OP-EN,http://theswo.sourceforge.net/
req340,Where do I get updates for MUSCLE?,,LSP-OP-EN,http://theswo.sourceforge.net/
req341,Can we collaborate with developers of MATLAB?,,LSP-OP-EN,http://theswo.sourceforge.net/
req342,Where can I buy LPE from?,,LSP-OP-EN,http://theswo.sourceforge.net/
req343,Which is the fastest software to read DNA nucleotide sequence?,,LSP-OP-EN,http://theswo.sourceforge.net/
req344,Does prada meet the ISO-4 standard?,,LSP-OP-EN,http://theswo.sourceforge.net/
req345,Do I know anyone who has used puma or processed DXF?,,LSP-OP-EN,http://theswo.sourceforge.net/
req346,How and where has IntelliJ Idea been used successfully in the past?,,LSP-OP-EN,http://theswo.sourceforge.net/
req347,What do others say about UNIX quality?,,LSP-OP-EN,http://theswo.sourceforge.net/
req348,How reliable is Kakadu?,,LSP-DP-EN,http://theswo.sourceforge.net/
req349,What software is better for clustering task given PDF as input type?,,LSP-OP-EN,http://theswo.sourceforge.net/
req350,Who are the potential users of ITALICS?,,LSP-OP-EN,http://theswo.sourceforge.net/
req351,Who else has used oligo today?,,LSP-OP-EN,http://theswo.sourceforge.net/
req352,How popular is Kakadu?,,LSP-DP-EN,http://theswo.sourceforge.net/
req353,How many settings do I need to know to rerun data annotation analysis?,,LSP-OP-EN,http://theswo.sourceforge.net/
req354,To what extent does WordStar support appropriate open standards?,,LSP-OP-EN,http://theswo.sourceforge.net/
req355,What new features are in version 4.3 of ScanArray?,,LSP-OP-DP-EN,http://theswo.sourceforge.net/
req356,What are the differences between versions of SMAP?,,LSP-OP-DP-EN,http://theswo.sourceforge.net/
req357,At what point did the license type of SpikeLI change?,,LSP-OP-EN,http://theswo.sourceforge.net/
req358,What is the licensing history of SLGI?,,LSP-OP-DP-PW-EN,http://theswo.sourceforge.net/
req359,How many license do we need to run vsn productively?,,LSP-OP-EN,http://theswo.sourceforge.net/
req360,Does cost of using XDE make sense for my project? Is XDE cost effective?,,LSP-OP-EN,http://theswo.sourceforge.net/
req361,What level of expertise is required to use ROC?,,LSP-OP-EN,http://theswo.sourceforge.net/
req362,Are there any usage examples for PSI-BLAST?,,LSP-OP-DP-EN,http://theswo.sourceforge.net/
req363,Does R software have a tutorial?,,LSP-OP-DP-PW-EN,http://theswo.sourceforge.net/
req364,How well documented is AIDA for developers?,,LSP-OP-DP-EN,http://theswo.sourceforge.net/
req365,How do I cite SPSS?,,LSP-OP-EN,http://theswo.sourceforge.net/
req366,Is ppiStats scriptable?,,LSP-DP-EN,http://theswo.sourceforge.net/
req367,How can I extend AIDA to include a new function?,,LSP-OP-EN,http://theswo.sourceforge.net/
req368,Can I use some components of ppiStats for my software?,,LSP-OP-EN,http://theswo.sourceforge.net/
req369,What hardware do I need to run ROC?,,LSP-OP-EN,http://theswo.sourceforge.net/
req370,What graphics card does LPE require?,,LSP-OP-EN,http://theswo.sourceforge.net/
req371,What platform does qvalue run on?,,LSP-OP-EN,http://theswo.sourceforge.net/
req372,Can I install Rgraphviz on a university computer?,,LSP-OP-EN,http://theswo.sourceforge.net/
req373,What compiler do I need to compile source code on Windows platform?,,LSP-OP-EN,http://theswo.sourceforge.net/
req374,Does MATLAB work on 64 bit windows?,,LSP-OP-EN,http://theswo.sourceforge.net/
req375,What is the algorithm used to process XML?,,LSP-OP-EN,http://theswo.sourceforge.net/
req376,What are the alternatives to Weka?,,LSP-OP-DP-EN,http://theswo.sourceforge.net/
req377,What other alternatives to PostgreSQL are there?,,LSP-OP-DP-EN,http://theswo.sourceforge.net/
req378,Which of the named and published “algorithms” does Unix use?,,LSP-OP-EN,http://theswo.sourceforge.net/
req379,What type of software is vsn?,,LSP-INST-SC-EN,http://theswo.sourceforge.net/
req380,What software can perform clustering task?,,LSP-OP-EN,http://theswo.sourceforge.net/
req381,Is Ringo appropriate software for data annotation?,,LSP-OP-DP-EN,http://theswo.sourceforge.net/
req382,What are the primary inputs and outputs of XDE?,,LSP-OP-EN,http://theswo.sourceforge.net/
req383,Which visualisation software is there for TSV and what will it cost?,,LSP-OP-DP-EN,http://theswo.sourceforge.net/
req384,Which software tool created Matrix?,,LSP-OP-EN,http://theswo.sourceforge.net/
req385,What software can I use RDF data with to support pattern discovery task?,,LSP-OP-EN,http://theswo.sourceforge.net/
req386,What are the input and output formats for Adobe Acrobat Reader?,,LSP-OP-DP-EN,http://theswo.sourceforge.net/
req387,What software can read a .cel file?,,LSP-OP-EN,http://theswo.sourceforge.net/
req388,What are the export options for AIDA?,,LSP-OP-DP-EN,http://theswo.sourceforge.net/
req389,What is the valid input for DROID?,,LSP-OP-DP-EN,http://theswo.sourceforge.net/
req390,"Can Eclipse export from its proprietary data format to an open format such as csv, txt?",,LSP-OP-EN,http://theswo.sourceforge.net/
req391,Can Dropbox work with data that are output from vsn?,,LSP-OP-EN,http://theswo.sourceforge.net/
req392,"What open source, maintained software can I use to process heat map in binary format?",,LSP-OP-EN,http://theswo.sourceforge.net/
req393,Is the output format of Spotfire proprietary?,,LSP-INST-SC-EN,http://theswo.sourceforge.net/
req394,Where can I get R software?,,LSP-OP-EN,http://theswo.sourceforge.net/
req395,How do I get help with Microsoft Excel?,,LSP-OP-EN,http://theswo.sourceforge.net/
req396,Who developed Mfuzz?,,LSP-OP-EN,http://theswo.sourceforge.net/
req397,What is the homepage of the DAVID?,,LSP-OP-DP-EN,http://theswo.sourceforge.net/
req398,Which URL can I get UNIX from?,,LSP-OP-EN,http://theswo.sourceforge.net/
req399,How long has Jaguar been around?,,LSP-OP-DP-EN,http://theswo.sourceforge.net/
req400,How actively developed prada is?,,LSP-OP-EN,http://theswo.sourceforge.net/
req401,Is Weka available as a web service?,,LSP-INST-SC-EN,http://theswo.sourceforge.net/
req402,What is the version of BioJava?,,LSP-OP-DP-EN,http://theswo.sourceforge.net/
req403,When was the 1.0 version of MUSCLE released?,,LSP-OP-EN,http://theswo.sourceforge.net/
req404,Is MFuzz open source development? Is there a community development?,,LSP-INST-SC-EN,http://theswo.sourceforge.net/
req405,"What license Jaguar has, and what is its permissiveness?",,LSP-OP-DP-PW-EN,http://theswo.sourceforge.net/
req406,Is PSI-BLAST open source or not?,,LSP-INST-SC-EN,http://theswo.sourceforge.net/
req407,Who owns the copyright for SIM?,,LSP-OP-EN,http://theswo.sourceforge.net/
req408,Is Linux FOSS?,,LSP-OP-DP-EN,http://theswo.sourceforge.net/
req409,Is LPE free or not?,,LSP-OP-DP-EN,http://theswo.sourceforge.net/
req410,Is there any documentation for ROC and where can I find it?,,LSP-OP-DP-EN,http://theswo.sourceforge.net/
req411,Where is the documentation of Cytoscape?,,LSP-OP-DP-EN,http://theswo.sourceforge.net/
req412,Where’s the documentation of CRG TCoffee?,,LSP-OP-DP-EN,http://theswo.sourceforge.net/
req413,Is there a publication with rama?,,LSP-OP-DP-EN,http://theswo.sourceforge.net/
req414,Is Rosetta Resolver extensible?,,LSP-DP-EN,http://theswo.sourceforge.net/
req415,In what language was Ringo implemented?,,LSP-OP-EN,http://theswo.sourceforge.net/
req416,Do I need a license key to use Ringo?,,LSP-OP-EN,http://theswo.sourceforge.net/
req417,What is a TESS?,TESS is a Telescope Encoder and Sky Sensor,LSP-DC-SC-EN,https://w3id.org/def/saref4envi#
req418,Which type of sensor is a TESS?,TESS is a photometer,LSP-DC-SC-EN,https://w3id.org/def/saref4envi#
req419,What is a photometer?,"A photometer, generally, is an instrument that measures light intensity or optical properties of solutions or surfaces",LSP-DC-SC-EN,https://w3id.org/def/saref4envi#
req420,What is the main component of TESS?,The main component of TESS is a custom-based electronic board,LSP-OP-EN,https://w3id.org/def/saref4envi#
req421,Which are the communication interfaces available in TESS?,"RS232, Bluetooth, and Wi-Fi",LSP-OP-EN,https://w3id.org/def/saref4envi#
req422,Which components of TESS are sensors?,"The light detector, nIR temperature sensor",LSP-DC-SC-EN,https://w3id.org/def/saref4envi#
req423,Which properties can be measured by a photometer?,"Illuminance, irradiance, light absorption, scattering of light, reflection of light, fluorescence, phosphorescence, and luminescence",LSP-OP-EN,https://w3id.org/def/saref4envi#
req424,Each reading in a TESS has a timestamp,,LSP-OP-EN,https://w3id.org/def/saref4envi#
req425,Which are the properties observed by a TESS?,"Ambient temperature, sky temperature, frequency and magnitude.",LSP-DC-SC-EN,https://w3id.org/def/saref4envi#
req426,Physical objects can contain devices,,LSP-OP-EN,https://w3id.org/def/saref4envi#
req427,A sensor could be a person,,LSP-DC-SC-EN,https://w3id.org/def/saref4envi#
req428,Devices might have different versions and revision numbers,,LSP-DC-SC-EN,https://w3id.org/def/saref4envi#
req429,Which type(s) of RS232 is supported by TESS?,V.24,LSP-OP-EN,https://w3id.org/def/saref4envi#
req430,Which type(s) of Bluetooth is supported by TESS?,V2.1,LSP-OP-EN,https://w3id.org/def/saref4envi#
req431,Which type(s) of WiFi is supported by TESS?,802.11ah,LSP-SC-EN,https://w3id.org/def/saref4envi#
req432,Which are the components of TESS?,"Printed circuit board, light detector, infrared thermometer module, remote serial port Wi-Fi transceiver module, power supply, light collector, nIR filter, clear glass window, enclosure box",LSP-DC-SC-EN,https://w3id.org/def/saref4envi#
req433,Which hardware elements is a TESS connected to?,To a Wi-Fi router,LSP-OP-EN,https://w3id.org/def/saref4envi#
req434,Which is the communication protocol used by TESS?,MQTT Broker (RabbitMQ + MQTT Adapter),LSP-OP-Min-EN,https://w3id.org/def/saref4envi#
req435,What is the transmission period of the TESS?,5 minutes (configurable),LSP-SC-EN,https://w3id.org/def/saref4envi#
req436,A device is located in a given geographical point defined by a latitude and a longitude,,LSP-OP-EN,https://w3id.org/def/saref4envi#
req437,A device position is defined using the azimuth and altitude horizontal coordinates,,LSP-OP-EN,https://w3id.org/def/saref4envi#
req438,A sensing device takes measures following a frequency,,LSP-OP-EN,https://w3id.org/def/saref4envi#
req439,A device can be actionable or not,,LSP-OP-EN,https://w3id.org/def/saref4envi#
req440,A device is part of a system,,LSP-OP-Min-EN,https://w3id.org/def/saref4envi#
req441,An actuator is a type of device,,LSP-OP-Min-EN,https://w3id.org/def/saref4envi#
req442,A device has energy consumption,,LSP-OP-EN,https://w3id.org/def/saref4envi#
req443,A lamppost uses a given light generation method,,LSP-OP-Min-EN,https://w3id.org/def/saref4envi#
req444,A lamppost has energy consumption,,LSP-OP-EN,https://w3id.org/def/saref4envi#
req445,A lamppost might have a light shield,,LSP-U-EN,https://w3id.org/def/saref4envi#
req446,What is a lamppost?,A lamppost is a physical object that lights an outdoor area.,LSP-OP-EN,https://w3id.org/def/saref4envi#
req447,A light has a geometry,,LSP-OP-EN,https://w3id.org/def/saref4envi#
req448,A light is projected in a given direction,,LSP-OP-EN,https://w3id.org/def/saref4envi#
req449,A light is projected in a given angle,,LSP-OP-EN,https://w3id.org/def/saref4envi#
req450,A light is projected from a given height,,LSP-OP-EN,https://w3id.org/def/saref4envi#
req451,A light has a colour,,LSP-U-EN,https://w3id.org/def/saref4envi#
req452,A light can have flash,,LSP-OP-DP-PW-EN,https://w3id.org/def/saref4envi#
req453,What can be considered as physical objects?,"An Arduino board, a garage door, a bottle of soda, a building, a TV, etc.",LSP-CD-EN,https://w3id.org/def/saref4envi#
req454,A digital representation of an object has a name,,LSP-OP-DP-PW-EN,https://w3id.org/def/saref4envi#
req455,A digital representation of an object has a description,,LSP-OP-DP-PW-EN,https://w3id.org/def/saref4envi#
req456,A physical object has a description,,LSP-OP-DP-PW-EN,https://w3id.org/def/saref4envi#
req457,A digital representation of an object has a unique identifier,,LSP-OP-DP-PW-EN,https://w3id.org/def/saref4envi#
req458,A digital representation of an object can have zero or more tags,,LSP-OP-DP-PW-EN,https://w3id.org/def/saref4envi#
req459,A digital representation of an object has exactly one creation date,,LSP-OP-Exact-EN,https://w3id.org/def/saref4envi#
req460,"A digital representation of an object includes the date in which some characteristic of object was last modified (e.g., its geolocation)",,LSP-OP-EN,https://w3id.org/def/saref4envi#
req461,A sensing device produces a log of property observations,,LSP-OP-EN,https://w3id.org/def/saref4envi#
req462,A log indicates which is its last value,,LSP-OP-EN,https://w3id.org/def/saref4envi#
req463,Values in a log are related to the time in which they were observed,,LSP-OP-EN,https://w3id.org/def/saref4envi#
req464,A physical representation of an object includes an observation log for each property to be observed,,LSP-OP-EN,https://w3id.org/def/saref4envi#
req465,An observation value is measured in a given unit,,LSP-OP-EN,https://w3id.org/def/saref4envi#
req466,What is a service?,A service is a software system to support interaction over a network,LSP-CD-EN,https://w3id.org/def/saref4envi#
req467,Physical objects can have digital representations that are accessible through services,,LSP-OP-EN,https://w3id.org/def/saref4envi#
req468,A service can expose either none or multiple digital representations of an object,,LSP-OP-EN,https://w3id.org/def/saref4envi#
req469,A digital representation of an object is exposed at maximum by one service,,LSP-OP-Max-EN,https://w3id.org/def/saref4envi#
req470,A digital representation of an object performs actions,,LSP-OP-EN,https://w3id.org/def/saref4envi#
req471,An action manages an actuator,,LSP-OP-EN,https://w3id.org/def/saref4envi#
req472,An action of a digital representation of an object can keep an action log,,LSP-OP-EN,https://w3id.org/def/saref4envi#
req473,A property of a digital representation of an object can keep an observation log,,LSP-OP-EN,https://w3id.org/def/saref4envi#
req474,A digital representation of an object encapsulates a system,,LSP-OP-EN,https://w3id.org/def/saref4envi#
req475,What is a device?,"A tangible
object designed to accomplish a particular task in households, common public buildings or offices",LSP-CD-EN,https://w3id.org/saref#
req476,A device performs one or more functions,,LSP-OP-Min-EN,https://w3id.org/saref#
req477,"Examples of devices are a light switch, a temperaturesensor, an energy meter, a washing machine",,LSP-INST-SC-EN,https://w3id.org/saref#
req478,A device shall have a model property,,LSP-OP-Min-EN,https://w3id.org/saref#
req479,A device shall have a manufacturer property,,LSP-OP-Min-EN,https://w3id.org/saref#
req480,A device can optionally  have a description,,LSP-OP-DP-PW-EN,https://w3id.org/saref#
req481,"A building space definesthe physical spaces of the building where a device is located, such as a kitchen or a living room",,LSP-OP-EN,https://w3id.org/saref#
req482,A building space contains devices or building objects,,LSP-U-EN,https://w3id.org/saref#
req483,"Building objectsare objects in the building that can be controlled by devices, such as doors or windows",,LSP-OP-EN,https://w3id.org/saref#
req484,A building object can be opened or closed by an actuator,,LSP-OP-EN,https://w3id.org/saref#
req485,"A building space has also a  property that can be used to specify thetype of space, for example, the living room or the bedroom",,LSP-OP-EN,https://w3id.org/saref#
req486,"A building space is a geographical point characterized by acertain altitude, latitude and longitude",,LSP-DP-EN,https://w3id.org/saref#
req487,"The devices can be classified into categories: FunctionRelated, EneryRelated and BuildingRelated",,LSP-SC-Di-EC-EN,https://w3id.org/saref#
req488,"The FunctionRelated category can be specialized into: Actuator, Applicance, HVAC, Lighting, Meter, MicroRenewable, Multimedia, Network, Sensor",,LSP-SC-Di-EC-EN,https://w3id.org/saref#
req489,"The EnergyRelated category can be specialized into: Load, Generator and Storage",,LSP-SC-Di-EC-EN,https://w3id.org/saref#
req490,The devices can belong to several categories,,LSP-OP-EN,https://w3id.org/saref#
req491,A device can be used for  the purpose of offering a commodity,,LSP-OP-EN,https://w3id.org/saref#
req492,Water or gas are examples of commodities,,LSP-INST-SC-EN,https://w3id.org/saref#
req493,A device can be used for  the purpose of sensing,,LSP-OP-EN,https://w3id.org/saref#
req494,A device can be used for measuring a property,,LSP-OP-EN,https://w3id.org/saref#
req495,A device can be used for notifying a property,,LSP-OP-EN,https://w3id.org/saref#
req496,"Examples of properties are temperature, energy or smoke",,LSP-INST-SC-EN,https://w3id.org/saref#
req497,"A device can be used for  the purpose of controlling a building object,such as a door or a window",,LSP-OP-EN,https://w3id.org/saref#
req498,A device may consists of other devices,,LSP-PW-CONS-COM-CE-EN,https://w3id.org/saref#
req499,A sensor is a device,,LSP-DC-SC-EN,https://w3id.org/saref#
req500,A sensor performs a sensing function,,LSP-OP-EN,https://w3id.org/saref#
req501,A temperature sensor is a device that has category sensor,,LSP-DC-SC-EN,https://w3id.org/saref#
req502,A temperature sensor consists of a sensor,,LSP-PW-CONS-COM-CE-EN,https://w3id.org/saref#
req503,A temperature senso performs the sensing function and is used for the purpose of sensing temperature,,LSP-OP-EN,https://w3id.org/saref#
req504,A washing machine is a device that has category Appliance  and Load,,LSP-DC-SC-EN,https://w3id.org/saref#
req505,A washing machine accomplishes the task ofwashing,,LSP-OP-EN,https://w3id.org/saref#
req506,A washing machine performs an actuating start/pause function,,LSP-OP-EN,https://w3id.org/saref#
req507,A smoke sensor is a device that has category Sensor,,LSP-OP-EN,https://w3id.org/saref#
req508,A smoke sensor is a device that consists of a sensor,,LSP-PW-CONS-COM-CE-EN,https://w3id.org/saref#
req509,A smoke sensor performs asensing and event function,,LSP-OP-EN,https://w3id.org/saref#
req510,A smoke sensor  is used for the purpose of sensing smoke,,LSP-OP-EN,https://w3id.org/saref#
req511,A switch is a device that has category Actuator,,LSP-DC-SC-EN,https://w3id.org/saref#
req512,"A door switch  has category Actuator,",,LSP-DC-SC-EN,https://w3id.org/saref#
req513,A door switch is a device that consists of a switch,,LSP-DC-SC-EN,https://w3id.org/saref#
req514,A door switch  performs theopen/close function,,LSP-OP-EN,https://w3id.org/saref#
req515,A door switch is used for the purpose of controlling doors,,LSP-OP-EN,https://w3id.org/saref#
req516,A dimmer lamp is a device that has category Lighting and Actuator,,LSP-DC-SC-EN,https://w3id.org/saref#
req517,A dimmer lamp performs an actuating level control,,LSP-OP-EN,https://w3id.org/saref#
req518,A dimmer lamp is used for the purpose of controlling the light,,LSP-OP-EN,https://w3id.org/saref#
req519,A meter is a functionRelated device,,LSP-DC-SC-EN,https://w3id.org/saref#
req520,A meter performs a metering function,,LSP-OP-EN,https://w3id.org/saref#
req521,An energy meter is a device that has category Meter,,LSP-DC-SC-EN,https://w3id.org/saref#
req522,An energy meter is a device that consists of a meter,,LSP-DC-SC-EN,https://w3id.org/saref#
req523,An energy meter  is used for the purpose of measuring energy,,LSP-OP-EN,https://w3id.org/saref#
req524,A function represents the functionality necessary toaccomplish the task for which a device is designed,,LSP-OP-EN,https://w3id.org/saref#
req525,"Examples of functions are the  the actuating, sensing, metering or event functions",,LSP-SC-EN,https://w3id.org/saref#
req526,"An actuating function can be specialized into on/off, open/close, start/stop or level control functions",,LSP-DC-SC-EN,https://w3id.org/saref#
req527,A function can belong to a function category,,LSP-OP-EN,https://w3id.org/saref#
req528,A function shall have at least one commandassociated to it,,LSP-OP-Min-EN,https://w3id.org/saref#
req529,"The commands can be: on, off, open, toggle, close, startm pause, step up, step down, set level, get and notify",,LSP-SC-EN,https://w3id.org/saref#
req530,A device can be found in a correponding state,,LSP-OP-EN,https://w3id.org/saref#
req531,A command can act upon a state  to represent that theconsequence of a command can be a change of state of the device.,,LSP-OP-EN,https://w3id.org/saref#
req532,A device offers a service,,LSP-OP-EN,https://w3id.org/saref#
req533,"A service is a representation of afunction to a network that makes this function discoverable, registerable and remotely controllable by other devices inthe network",,LSP-OP-EN,https://w3id.org/saref#
req534,A service shall represent at least one function,,LSP-OP-Min-EN,https://w3id.org/saref#
req535,"A service is offered by at least one device that wants (a certain set of) its function(s) to be discoverable, registerable andremotely controllable by other devices in the network",,LSP-OP-Min-EN,https://w3id.org/saref#
req536,Multiple devices can offer the same service,,LSP-OP-EN,https://w3id.org/saref#
req537,A service shall specify the device that is offering the service,,LSP-OP-Min-EN,https://w3id.org/saref#
req538,A device can be characterized by a profile.,,LSP-OP-EN,https://w3id.org/saref#
req539,The profile allows to describe the energy or power production and consumption of a certain device.,,LSP-U-EN,https://w3id.org/saref#
